Category,Adjective,Promotional_Intensity,SD_Intensity,N_Participants,N_Observations,SE_Intensity
SCALE,ample,0.278529981,0.173111418,10,10,0.054742637
SCALE,sizable,0.191489362,0.121718628,10,10,0.03849081
UTILITY,impactful,0.94587834,0.108867249,10,10,0.034426847
UTILITY,transformative,0.917453098,0.132707125,10,40,0.041965678
UTILITY,high-performance,0.912222854,0.172426723,10,10,0.054526117
UTILITY,high-yielding,0.893121092,0.205208458,10,10,0.064892612
UTILITY,perfect,0.835361001,0.215303721,10,10,0.068085015
UTILITY,ideal,0.819442865,0.208296529,10,10,0.065869146
UTILITY,optimal,0.800795907,0.298933755,10,10,0.094531153
UTILITY,synergistic,0.753951109,0.242272425,10,10,0.076613268
UTILITY,high-performing,0.736213758,0.272629534,10,10,0.086213028
UTILITY,meaningful,0.736213758,0.227603978,10,10,0.071974698
UTILITY,valuable,0.72120523,0.186069199,10,10,0.058840247
UTILITY,effective,0.704377487,0.145094393,10,10,0.045882876
UTILITY,durable,0.688459352,0.158294542,10,10,0.050057129
UTILITY,efficient,0.686185333,0.173912516,10,10,0.054995966
UTILITY,scalable,0.683456509,0.227454482,10,10,0.071927423
UTILITY,seamless,0.657532689,0.286442601,10,10,0.090581104
UTILITY,opportune,0.656623081,0.242573905,10,10,0.076708604
UTILITY,efficacious,0.6470722,0.217875895,10,10,0.068898408
UTILITY,concrete,0.640704946,0.278756805,10,10,0.088150642
UTILITY,expandable,0.59295054,0.135278138,10,10,0.042778703
UTILITY,productive,0.59295054,0.262635833,10,10,0.083052743
UTILITY,sustainable,0.59295054,0.187597024,10,10,0.059323388
UTILITY,useful,0.59295054,0.202048178,10,10,0.063893244
UTILITY,purposeful,0.571119955,0.241784332,10,10,0.076458919
UTILITY,streamlined,0.562933485,0.312662359,10,10,0.098872519
UTILITY,extensible,0.55884025,0.22790671,10,10,0.07207043
UTILITY,tailored,0.549744173,0.303808377,10,10,0.096072644
UTILITY,intuitive,0.540648096,0.235055341,10,10,0.074331025
UTILITY,fruitful,0.530187607,0.28689157,10,10,0.09072308
UTILITY,dependable,0.529277999,0.20481609,10,10,0.064768535
UTILITY,tactical,0.529277999,0.304346903,10,10,0.096242941
UTILITY,straightforward,0.513359864,0.225116428,10,10,0.071188065
UTILITY,constructive,0.497441728,0.090358692,10,10,0.028573927
UTILITY,accessible,0.497441728,0.218129443,10,10,0.068978586
UTILITY,adaptable,0.497441728,0.19057494,10,10,0.060265088
UTILITY,actionable,0.481523593,0.316589084,10,10,0.100114259
UTILITY,implementable,0.465605458,0.225740886,10,10,0.071385536
UTILITY,practical,0.452870949,0.239127186,10,10,0.075618656
UTILITY,generalizable,0.449687322,0.272629534,10,10,0.086213028
UTILITY,practicable,0.449687322,0.311207574,10,10,0.098412476
UTILITY,tangible,0.433769187,0.293035919,10,10,0.092666094
UTILITY,transferable,0.433769187,0.171935512,10,10,0.054370783
UTILITY,maintainable,0.417851052,0.227603978,10,10,0.071974698
UTILITY,well-timed,0.417851052,0.171114813,10,10,0.054111255
UTILITY,timely,0.401932916,0.168628751,10,10,0.053325093
UTILITY,rich,0.370096646,0.275199143,10,10,0.08702561
UTILITY,easy-to-use,0.354178511,0.237293551,10,10,0.075038809
UTILITY,user-friendly,0.354178511,0.198534028,10,10,0.062781972
UTILITY,deployable,0.354178511,0.270556275,10,10,0.085557406
UTILITY,self-explanatory,0.32234224,0.195677275,10,10,0.061878587
UTILITY,usable,0.290505969,0.292555137,10,10,0.092514058
UTILITY,viable,0.283342808,0.170867666,10,10,0.0540331
UTILITY,ready,0.271006254,0.181574991,10,10,0.057419054
UTILITY,simple,0.242751563,0.131049647,10,10,0.041441537
UTILITY,economical,0.242751563,0.212904027,10,10,0.067326165
UTILITY,safer,0.210915293,0.139378403,10,10,0.044075321
UTILITY,easy,0.179079022,0.175179865,10,10,0.055396737
